Mechanism,Community_ID,Manuscript_label,Community_size,Library,Term,Overlap,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Nucleus (GO:0005634),82/4487,1.257e-14,1.822e-12,3.461,110.766,AHCTF1;KDM1A;HP1BP3;FHL3;ARID4B;HNRNPR;ADAR;ENO1;NOC2L;CDC73;XPO1;PAPOLG;MAGOH;UBAP2L;ZNF326;ZNF644;LBR;BCAS2;USP48;DFFA;ZNF281;PABPC4;CACYBP;ASH1L;ARID1A;ILF2;RSBN1;UCHL5;UHMK1;SFPQ;SYF2;PRPF3;ZNF638;PSME4;MTF2;SNRPG;DEPDC1;SNRNP27;SRSF4;BIRC6;DNAJC8;ATF3;SF3B4;MEAF6;RBM8A;HDAC1;DDX1;HTRA2;NOL9;RNF2;ZFP36L2;EXOSC10;RBBP4;LMNA;TPR;CAMTA1;GPBP1L1;SRSF10;TRMT1L;SF3A3;YTHDF2;SETDB1;TAF12;ATP5PB;EYA3;NEK7;TPRKB;RPA2;MACO1;HIPK1;YY1AP1;CDK11B;PNRC2;MAD2L2;SNRNP40;ADI1;PITHD1;REL;PKN2;LPIN1;TRIM33;OTUD3
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),87/5175,1.519e-13,1.101e-11,3.233,95.419,AHCTF1;KDM1A;HP1BP3;FHL3;ARID4B;HNRNPR;ADAR;ENO1;NOC2L;CDC73;XPO1;PAPOLG;MAGOH;UBAP2L;ZNF326;ZNF644;LBR;BCAS2;TMED5;USP48;DFFA;ZNF281;PABPC4;CACYBP;ASH1L;ARID1A;ILF2;RSBN1;UCHL5;UHMK1;AFTPH;SFPQ;SYF2;PRPF3;ZNF638;PSME4;MTF2;SNRPG;DEPDC1;SNRNP27;SRSF4;PPIH;BIRC6;DNAJC8;ATF3;FAM72B;SF3B4;MEAF6;RBM8A;HDAC1;SLC66A1;DDX1;HTRA2;NOL9;RNF2;ZFP36L2;EXOSC10;RBBP4;LMNA;TPR;CAMTA1;GPBP1L1;SRSF10;TRMT1L;SF3A3;YTHDF2;SETDB1;TAF12;ATP5PB;EYA3;NEK7;TPRKB;RPA2;MACO1;HIPK1;YY1AP1;CDK11B;PNRC2;MAD2L2;SNRNP40;ADI1;PITHD1;REL;PKN2;LPIN1;TRIM33;OTUD3
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,U2-type Spliceosomal Complex (GO:0005684),8/90,7.902e-07,3.819e-05,12.275,172.471,SF3B4;SF3A3;SNRNP40;RBM8A;SYF2;PRPF3;SNRPG;BCAS2
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,U4/U6 X U5 tri-snRNP Complex (GO:0046540),5/35,9.557e-06,3.197e-04,20.630,238.450,SNRNP40;PRPF3;SNRPG;SNRNP27;PPIH
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Spliceosomal tri-snRNP Complex (GO:0097526),5/36,1.102e-05,3.197e-04,19.964,227.894,SNRNP40;PRPF3;SNRPG;SNRNP27;PPIH
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Precatalytic Spliceosome (GO:0071011),5/52,6.833e-05,1.651e-03,13.157,126.190,SF3B4;SF3A3;PRPF38B;PRPF3;SNRPG
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,U2-type Catalytic Step 2 Spliceosome (GO:0071007),4/29,9.031e-05,1.859e-03,19.687,183.330,SNRNP40;SYF2;SNRPG;BCAS2
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Spliceosomal snRNP Complex (GO:0097525),5/57,1.065e-04,1.859e-03,11.889,108.752,SF3B4;SF3A3;SNRNP40;SNRPG;PPIH
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Nuclear Membrane (GO:0031965),9/227,1.154e-04,1.859e-03,5.192,47.071,AHCTF1;XPO1;WDR3;LMNA;TPR;MACO1;ENO1;LPIN1;LBR
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),23/1195,1.298e-04,1.881e-03,2.579,23.084,MACF1;MEAF6;WDR3;TUT4;HP1BP3;HTRA2;NOL9;HNRNPR;ADAR;CDC42BPA;NOC2L;ILF2;CCSAP;YY1AP1;UCHL5;MAD2L2;EXOSC10;XPO1;CAPZA1;CAMTA1;KIF2C;EIF4G3;ATF3
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Cytoplasmic Stress Granule (GO:0010494),5/76,4.143e-04,5.461e-03,8.699,67.755,YTHDF2;PABPC4;DDX1;RC3H1;PUM1
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Sin3 Complex (GO:0016580),3/21,6.574e-04,7.333e-03,20.388,149.386,RBBP4;HDAC1;ARID4B
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Sin3-type Complex (GO:0070822),3/21,6.574e-04,7.333e-03,20.388,149.386,RBBP4;HDAC1;ARID4B
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,U2-type Precatalytic Spliceosome (GO:0071005),4/49,7.087e-04,7.340e-03,10.926,79.237,SF3B4;SF3A3;PRPF3;SNRPG
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,U2 snRNP (GO:0005686),3/25,1.110e-03,1.073e-02,16.678,113.469,SF3B4;SF3A3;SNRPG
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Nucleolus (GO:0005730),15/771,1.843e-03,1.670e-02,2.524,15.891,MEAF6;WDR3;TUT4;NOL9;HNRNPR;ADAR;NOC2L;ILF2;YY1AP1;UCHL5;MAD2L2;EXOSC10;XPO1;CAMTA1;ATF3
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Nuclear Lumen (GO:0031981),15/780,2.061e-03,1.758e-02,2.493,15.417,MEAF6;WDR3;TUT4;NOL9;HNRNPR;ADAR;NOC2L;ILF2;YY1AP1;UCHL5;MAD2L2;EXOSC10;XPO1;CAMTA1;ATF3
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,P-body (GO:0000932),4/83,4.951e-03,3.988e-02,6.213,32.980,YTHDF2;RC3H1;PUM1;PNRC2
DNA-RNA cross-attention,3,C3,165,GO_Cellular_Component_2023,Endopeptidase Complex (GO:1905369),2/14,5.768e-03,4.402e-02,20.269,104.495,CFH;HTRA2
DNA-RNA cross-attention,3,C3,165,KEGG_2021_Human,Spliceosome,14/150,2.634e-11,3.872e-09,13.429,327.139,SF3B4;SF3A3;PRPF38B;RBM8A;SNRNP40;SYF2;PRPF3;MAGOH;SNRPG;SNRNP27;PPIH;SRSF4;SRSF10;BCAS2
DNA-RNA cross-attention,3,C3,165,KEGG_2021_Human,RNA transport,8/186,1.594e-04,1.172e-02,5.627,49.203,EIF2B4;EIF2B3;XPO1;RBM8A;PABPC4;MAGOH;TPR;EIF4G3
DNA-RNA cross-attention,3,C3,165,Reactome_2022,mRNA Splicing - Major Pathway R-HSA-72163,15/181,2.780e-11,1.511e-08,11.849,287.997,SF3B4;SF3A3;RBM8A;HNRNPR;SNRNP40;SYF2;PRPF3;MAGOH;SNRPG;SNRNP27;SRSF4;PPIH;DNAJC8;SRSF10;BCAS2
DNA-RNA cross-attention,3,C3,165,Reactome_2022,mRNA Splicing R-HSA-72172,15/189,5.157e-11,1.511e-08,11.299,267.661,SF3B4;SF3A3;RBM8A;HNRNPR;SNRNP40;SYF2;PRPF3;MAGOH;SNRPG;SNRNP27;SRSF4;PPIH;DNAJC8;SRSF10;BCAS2
DNA-RNA cross-attention,3,C3,165,Reactome_2022,Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,16/242,1.766e-10,3.450e-08,9.317,209.235,SF3B4;SF3A3;RBM8A;HNRNPR;SNRNP40;SYF2;PRPF3;MAGOH;TPR;SNRPG;SNRNP27;SRSF4;PPIH;DNAJC8;SRSF10;BCAS2
DNA-RNA cross-attention,3,C3,165,Reactome_2022,Metabolism Of RNA R-HSA-8953854,25/666,2.393e-10,3.506e-08,5.347,118.455,SF3B4;RBM8A;DDX1;WDR3;TUT4;NOL9;HNRNPR;ADAR;EXOSC10;XPO1;MAGOH;TPR;SRSF10;BCAS2;SF3A3;PNRC2;SNRNP40;SYF2;PRPF3;PSME4;SNRPG;SNRNP27;SRSF4;PPIH;DNAJC8
DNA-RNA cross-attention,3,C3,165,Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",14/523,1.149e-04,1.347e-02,3.520,31.934,RAB1A;AHCTF1;HDAC1;RCC2;NEK7;CDK11B;XPO1;RBBP4;LMNA;PSME4;TPR;KIF2C;LPIN1;LBR
DNA-RNA cross-attention,3,C3,165,Reactome_2022,Chromatin Modifying Enzymes R-HSA-3247509,9/238,1.649e-04,1.610e-02,4.939,43.024,KDM1A;RBBP4;MEAF6;SETDB1;TAF12;HDAC1;ARID4B;ASH1L;ARID1A
